title,episodes,score,members,year,type,high score,post y2k,weighted popularity
Cowboy Bebop,26.0,8.75,2049460,1998.0,TV,1,0,78825.38461538461
Cowboy Bebop: Tengoku no Tobira,1.0,8.38,410742,,Movie,1,0,410742.0
Trigun,26.0,8.22,831952,1998.0,TV,1,0,31998.153846153848
Witch Hunter Robin,26.0,7.25,129076,2002.0,TV,1,1,4964.461538461538
Bouken Ou Beet,52.0,7.0,16842,2004.0,TV,1,1,323.88461538461536
Eyeshield 21,145.0,7.92,195677,2005.0,TV,1,1,1349.496551724138
Hachimitsu to Clover,24.0,7.98,284958,2005.0,TV,1,1,11873.25
Hungry Heart: Wild Striker,52.0,7.58,26917,2002.0,TV,1,1,517.6346153846154
Initial D Fourth Stage,24.0,8.18,214402,2004.0,TV,1,1,8933.416666666666
Monster,74.0,8.89,1321076,2004.0,TV,1,1,17852.37837837838
Naruto,220.0,8.02,3106612,2002.0,TV,1,1,14120.963636363636
One Piece,,8.73,2666829,1999.0,TV,1,0,
Tennis no Oujisama,178.0,7.85,197447,2001.0,TV,1,1,1109.252808988764
Ring ni Kakero 1,12.0,6.57,5693,2004.0,TV,1,1,474.4166666666667
School Rumble,26.0,7.89,344581,2004.0,TV,1,1,13253.115384615385
Sunabouzu,24.0,7.37,151559,2004.0,TV,1,1,6314.958333333333
Texhnolyze,22.0,7.77,288658,2003.0,TV,1,1,13120.818181818182
Trinity Blood,24.0,7.29,199710,2005.0,TV,1,1,8321.25
Yakitate!! Japan,69.0,7.91,105147,2004.0,TV,1,1,1523.8695652173913
Zipang,26.0,7.52,25353,2004.0,TV,1,1,975.1153846153846
Shinseiki Evangelion,26.0,8.37,2020530,1995.0,TV,1,0,77712.69230769231
Shinseiki Evangelion Movie: Shi to Shinsei,1.0,7.5,279962,,Movie,1,0,279962.0
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1.0,8.57,1038491,,Movie,1,0,1038491.0
Kenpuu Denki Berserk,25.0,8.61,763175,1997.0,TV,1,0,30527.0
Koukaku Kidoutai,1.0,8.27,702012,,Movie,1,0,702012.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4.0,8.69,292363,,OVA,1,0,73090.75
Rurouni Kenshin: Meiji Kenkaku Romantan,94.0,8.28,524373,1996.0,TV,1,0,5578.436170212766
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1.0,7.56,55439,,Movie,1,0,55439.0
Akira,1.0,8.16,952041,,Movie,1,0,952041.0
.hack//Sign,26.0,6.95,194421,2002.0,TV,1,1,7477.7307692307695
Aa! Megami-sama!,5.0,7.3,58523,,OVA,1,0,11704.6
Aa! Megami-sama! (TV),24.0,7.32,169432,2005.0,TV,1,1,7059.666666666667
Tenshi Kinryouku,3.0,6.24,52563,,OVA,1,0,17521.0
Kidou Tenshi Angelic Layer,26.0,7.27,62725,2001.0,TV,1,1,2412.5
Ai Yori Aoshi,24.0,7.1,116984,2002.0,TV,1,1,4874.333333333333
Appleseed (Movie),1.0,7.05,78244,,Movie,1,0,78244.0
Arc the Lad,26.0,6.58,18251,1999.0,TV,1,0,701.9615384615385
Avenger,13.0,5.92,19299,2003.0,TV,1,1,1484.5384615384614
Beck,26.0,8.29,375138,2004.0,TV,1,1,14428.384615384615
Blue Gender,26.0,7.04,89301,1999.0,TV,1,0,3434.653846153846
Chobits,26.0,7.39,513854,2002.0,TV,1,1,19763.615384615383
Chrno Crusade,24.0,7.6,237690,2003.0,TV,1,1,9903.75
D.N.Angel,26.0,7.16,191812,2003.0,TV,1,1,7377.384615384615
D.C.: Da Capo,26.0,6.73,79372,2003.0,TV,1,1,3052.769230769231
DearS,12.0,6.55,156894,2004.0,TV,1,1,13074.5
Rozen Maiden,12.0,7.41,219460,2004.0,TV,1,1,18288.333333333332
Rozen Maiden: Träumend,12.0,7.62,111356,2005.0,TV,1,1,9279.666666666666
Azumanga Daiou The Animation,26.0,8.08,424564,2002.0,TV,1,1,16329.384615384615
Basilisk: Kouga Ninpou Chou,24.0,7.54,203226,2005.0,TV,1,1,8467.75
Black Cat,23.0,7.32,282826,2005.0,TV,1,1,12296.782608695652
Cluster Edge,25.0,6.38,11927,2005.0,TV,1,1,477.08
Full Metal Panic!,24.0,7.59,529554,2002.0,TV,1,1,22064.75
Full Metal Panic? Fumoffu,12.0,8.02,311229,2003.0,TV,1,1,25935.75
Full Metal Panic! The Second Raid,13.0,7.91,273160,2005.0,TV,1,1,21012.30769230769
Gakuen Alice,26.0,7.66,106884,2004.0,TV,1,1,4110.923076923077
Soukyuu no Fafner: Dead Aggressor,25.0,7.29,53049,2004.0,TV,1,1,2121.96
Mahou Shoujo Lyrical Nanoha,13.0,7.43,111000,2004.0,TV,1,1,8538.461538461539
Mahou Shoujo Lyrical Nanoha A's,13.0,7.97,69680,2005.0,TV,1,1,5360.0
Shuffle!,24.0,7.01,292806,2005.0,TV,1,1,12200.25
Kidou Senshi Gundam,43.0,7.78,151403,1979.0,TV,1,0,3521.0
Kidou Senshi Gundam: Dai 08 MS Shoutai,12.0,8.0,94164,,OVA,1,0,7847.0
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,6.0,8.02,70365,,OVA,1,0,11727.5
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,1.0,6.73,15010,,Movie,1,0,15010.0
Kidou Senshi Gundam 0083: Stardust Memory,13.0,7.23,51960,,OVA,1,0,3996.923076923077
Kidou Senshi Zeta Gundam,50.0,7.91,87742,1985.0,TV,1,0,1754.84
Kidou Senshi Gundam ZZ,47.0,6.73,51338,1986.0,TV,1,0,1092.2978723404256
Kidou Senshi Gundam: Gyakushuu no Char,1.0,7.71,59107,,Movie,1,0,59107.0
Kidou Senshi Gundam F91,1.0,6.6,37910,,Movie,1,0,37910.0
Kidou Senshi Victory Gundam,51.0,6.78,32300,1993.0,TV,1,0,633.3333333333334
Shin Kidou Senki Gundam Wing,49.0,7.66,171408,1995.0,TV,1,0,3498.122448979592
Shin Kidou Senki Gundam Wing: Endless Waltz,3.0,7.75,51823,,OVA,1,0,17274.333333333332
Kidou Shinseiki Gundam X,39.0,7.39,40605,1996.0,TV,1,0,1041.1538461538462
Kidou Senshi Gundam SEED,50.0,7.74,185082,2002.0,TV,1,1,3701.64
Kidou Senshi Gundam SEED Destiny,50.0,7.17,117004,2004.0,TV,1,1,2340.08
Turn A Gundam,50.0,7.84,55756,1999.0,TV,1,0,1115.12
Kidou Butouden G Gundam,49.0,7.61,75647,1994.0,TV,1,0,1543.8163265306123
Last Exile,26.0,7.78,187802,2003.0,TV,1,1,7223.153846153846
Mai-HiME,26.0,7.4,122066,2004.0,TV,1,1,4694.846153846154
Mai-Otome,26.0,7.3,54381,2005.0,TV,1,1,2091.576923076923
Shin Shirayuki-hime Densetsu Prétear,13.0,7.17,69054,2001.0,TV,1,1,5311.846153846154
Air,12.0,7.27,312741,2005.0,TV,1,1,26061.75
Aishiteruze Baby★★,26.0,7.44,107581,2004.0,TV,1,1,4137.7307692307695
Akazukin Chacha,74.0,7.52,18040,1994.0,TV,1,0,243.78378378378378
Ayashi no Ceres,24.0,7.18,66505,2000.0,TV,1,1,2771.0416666666665
Boys Be...,13.0,6.42,25665,2000.0,TV,1,1,1974.2307692307693
Hana yori Dango,51.0,7.59,67344,1996.0,TV,1,0,1320.4705882352941
Ou Dorobou Jing,13.0,7.2,40277,2002.0,TV,1,1,3098.230769230769
Ou Dorobou Jing in Seventh Heaven,3.0,7.24,13738,,OVA,1,0,4579.333333333333
Bakuretsu Tenshi,24.0,6.79,76320,2004.0,TV,1,1,3180.0
Chuuka Ichiban!,52.0,7.59,21794,1997.0,TV,1,0,419.11538461538464
Corrector Yui,52.0,6.97,19392,1999.0,TV,1,0,372.9230769230769
Chou Henshin Cosprayers,8.0,4.94,9957,2004.0,TV,0,1,1244.625
Uchuu no Stellvia,26.0,7.37,27179,2003.0,TV,1,1,1045.3461538461538
Sakigake!! Cromartie Koukou,26.0,7.89,154375,2003.0,TV,1,1,5937.5
Ijigen no Sekai El-Hazard,13.0,6.82,13342,1998.0,TV,1,0,1026.3076923076924
Shinpi no Sekai El-Hazard (TV),26.0,6.97,20218,1995.0,TV,1,0,777.6153846153846
Shinpi no Sekai El-Hazard,7.0,7.28,22711,,OVA,1,0,3244.4285714285716
Shinpi no Sekai El-Hazard Season 2,4.0,6.83,10569,,OVA,1,0,2642.25
Final Approach,13.0,6.52,37465,2004.0,TV,1,1,2881.923076923077
Fruits Basket,26.0,7.69,566850,2001.0,TV,1,1,21801.923076923078
Fullmetal Alchemist,51.0,8.12,1554964,2003.0,TV,1,1,30489.49019607843
Full Moon wo Sagashite,52.0,7.95,118042,2002.0,TV,1,1,2270.0384615384614
Fushigi Yuugi,52.0,7.61,128923,1995.0,TV,1,0,2479.2884615384614
Fushigi Yuugi: Eikouden,4.0,6.78,19304,,OVA,1,0,4826.0
Futakoi,13.0,6.47,37696,2004.0,TV,1,1,2899.6923076923076
Futakoi Alternative,13.0,6.9,33661,2005.0,TV,1,1,2589.3076923076924
Gate Keepers,24.0,6.95,24338,2000.0,TV,1,1,1014.0833333333334
Gate Keepers 21,6.0,6.76,11625,,OVA,1,0,1937.5
Gensoumaden Saiyuuki,50.0,7.53,59112,2000.0,TV,1,1,1182.24
Saiyuuki Reload,25.0,7.36,38321,2003.0,TV,1,1,1532.84
Saiyuuki Reload Gunlock,26.0,7.36,25403,2004.0,TV,1,1,977.0384615384615
GetBackers,49.0,7.57,128788,2002.0,TV,1,1,2628.326530612245
Green Green,12.0,6.13,122286,2003.0,TV,1,1,10190.5
